item,empleados,pais,paisLabel,geo,personaLabel,empleado,profesionLabel
http://www.wikidata.org/entity/Q386372,3000,http://www.wikidata.org/entity/Q20,Norway,Point(9.593055555 59.191111111),,http://www.wikidata.org/entity/Q60650914,public health physician
http://www.wikidata.org/entity/Q180080,8893,http://www.wikidata.org/entity/Q40,Austria,Point(16.3475 48.22),,http://www.wikidata.org/entity/Q113617,medical specialist
http://www.wikidata.org/entity/Q180080,8893,http://www.wikidata.org/entity/Q40,Austria,Point(16.3475 48.22),,http://www.wikidata.org/entity/Q5040532,physician
http://www.wikidata.org/entity/Q319026,500,http://www.wikidata.org/entity/Q183,Germany,Point(13.3706 52.5556),,http://www.wikidata.org/entity/Q59164080,physician
http://www.wikidata.org/entity/Q180080,8893,http://www.wikidata.org/entity/Q40,Austria,Point(16.3475 48.22),,http://www.wikidata.org/entity/Q113617,health economist
http://www.wikidata.org/entity/Q602748,11500,http://www.wikidata.org/entity/Q16,Canada,Point(-73.600974 45.472891),,http://www.wikidata.org/entity/Q38801565,researcher
http://www.wikidata.org/entity/Q602748,11500,http://www.wikidata.org/entity/Q16,Canada,Point(-73.600974 45.472891),,http://www.wikidata.org/entity/Q40108756,researcher
http://www.wikidata.org/entity/Q319026,500,http://www.wikidata.org/entity/Q183,Germany,Point(13.3706 52.5556),,http://www.wikidata.org/entity/Q59164080,genealogist
http://www.wikidata.org/entity/Q319026,500,http://www.wikidata.org/entity/Q183,Germany,Point(13.3706 52.5556),,http://www.wikidata.org/entity/Q59164080,amateur photographer
http://www.wikidata.org/entity/Q602748,11500,http://www.wikidata.org/entity/Q16,Canada,Point(-73.600974 45.472891),,http://www.wikidata.org/entity/Q41684753,researcher
http://www.wikidata.org/entity/Q602748,11500,http://www.wikidata.org/entity/Q16,Canada,Point(-73.600974 45.472891),,http://www.wikidata.org/entity/Q42173333,researcher
http://www.wikidata.org/entity/Q602748,11500,http://www.wikidata.org/entity/Q16,Canada,Point(-73.600974 45.472891),,http://www.wikidata.org/entity/Q42264535,researcher
http://www.wikidata.org/entity/Q602748,11500,http://www.wikidata.org/entity/Q16,Canada,Point(-73.600974 45.472891),,http://www.wikidata.org/entity/Q42321713,researcher
http://www.wikidata.org/entity/Q602748,11500,http://www.wikidata.org/entity/Q16,Canada,Point(-73.600974 45.472891),,http://www.wikidata.org/entity/Q42884450,researcher
http://www.wikidata.org/entity/Q602748,11500,http://www.wikidata.org/entity/Q16,Canada,Point(-73.600974 45.472891),,http://www.wikidata.org/entity/Q43140218,researcher
http://www.wikidata.org/entity/Q386372,3000,http://www.wikidata.org/entity/Q20,Norway,Point(9.593055555 59.191111111),,http://www.wikidata.org/entity/Q79078973,researcher
http://www.wikidata.org/entity/Q602748,11500,http://www.wikidata.org/entity/Q16,Canada,Point(-73.600974 45.472891),,http://www.wikidata.org/entity/Q37368991,assistant professor
http://www.wikidata.org/entity/Q386372,3000,http://www.wikidata.org/entity/Q20,Norway,Point(9.593055555 59.191111111),,http://www.wikidata.org/entity/Q80206375,researcher
http://www.wikidata.org/entity/Q602748,11500,http://www.wikidata.org/entity/Q16,Canada,Point(-73.600974 45.472891),,http://www.wikidata.org/entity/Q45298440,researcher
